LoAu,English Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Halton,North West,"78,700","79,100","79,800","80,400","80,900","81,300","81,900","82,200","81,300","80,700","80,300","80,000","79,700","79,300"
Hyndburn,North West,"50,900","51,100","51,500","51,800","51,800","51,600","51,400","51,100","50,400","49,800","49,600","49,300","49,200","49,100"
Knowsley,North West,"94,200","94,400","94,800","94,900","95,000","94,700","94,500","94,200","93,800","93,700","93,700","93,800","93,900","93,900"
Lancaster,North West,"87,600","88,900","89,000","88,600","88,200","88,200","89,100","89,400","89,800","89,700","89,300","89,600","89,800","90,200"
Liverpool,North West,"298,800","304,000","306,500","308,900","311,000","314,100","318,100","322,000","324,100","324,500","325,300","329,600","334,000","335,700"
Manchester,North West,"306,300","317,000","324,900","331,500","337,400","342,700","349,500","357,500","362,200","363,000","365,900","373,800","382,300","384,700"
Oldham,North West,"138,000","138,100","138,900","139,500","140,100","140,600","140,900","141,600","140,900","140,700","140,800","141,700","142,800","143,500"
Pendle,North West,"55,600","55,900","56,500","56,800","57,000","57,100","56,900","56,800","56,100","55,900","55,200","55,000","54,900","54,800"
Preston,North West,"89,200","90,900","92,500","93,200","93,000","92,500","93,000","93,800","93,800","92,900","92,300","92,600","92,500","92,400"
Ribble Valley,North West,"35,300","35,500","35,600","35,800","35,800","35,500","35,400","35,100","34,900","34,900","34,800","34,900","35,100","35,400"
Rochdale,North West,"132,100","132,300","133,300","134,100","135,000","135,300","135,300","136,100","135,000","134,400","134,400","134,800","135,400","136,200"
Rossendale,North West,"42,200","42,700","43,100","43,500","43,900","44,200","44,300","44,300","43,900","43,700","43,600","43,500","43,500","43,700"
Salford,North West,"141,900","143,800","146,200","147,700","150,400","152,200","154,200","156,000","156,600","157,100","158,700","160,900","162,400","164,600"
Sefton,North West,"170,500","170,000","170,100","170,400","170,700","170,300","169,700","169,300","167,600","166,400","165,800","165,400","165,000","163,700"
South Lakeland,North West,"64,000","64,400","64,500","64,600","64,400","63,800","63,400","62,600","61,500","61,000","60,400","60,000","59,800","59,900"
South Ribble,North West,"68,100","68,300","68,900","69,400","69,800","70,000","69,800","69,600","68,600","68,100","67,700","67,500","67,400","67,200"
St. Helens,North West,"112,300","112,200","112,400","112,300","112,500","112,600","112,200","111,800","111,000","110,300","110,200","110,100","110,200","110,200"
Stockport,North West,"179,300","178,500","178,500","179,100","179,300","179,300","178,800","178,400","176,800","176,400","176,300","176,600","177,000","177,100"
